date,open,high,low,close,volume,dividend,split
2015-05-15,18251.9707,18272.7207,18215.07031,18272.56055,108220000,0,0
2015-05-18,18267.25,18325.53906,18244.25977,18298.88086,79080000,0,0
2015-05-19,18300.48047,18351.35938,18261.34961,18312.39063,87200000,0,0
2015-05-20,18315.06055,18350.13086,18272.56055,18285.40039,80190000,0,0
2015-05-21,18285.86914,18314.89063,18249.90039,18285.74023,84270000,0,0
2015-05-22,18286.86914,18286.86914,18217.14063,18232.01953,78890000,0,0
2015-05-26,18229.75,18229.75,17990.01953,18041.53906,109440000,0,0
2015-05-27,18045.08008,18190.34961,18045.08008,18162.99023,96400000,0,0
2015-05-28,18154.14063,18154.14063,18066.40039,18126.11914,67510000,0,0
2015-05-29,18128.11914,18128.11914,17967.74023,18010.67969,139810000,0,0
2015-06-01,18017.82031,18105.83008,17982.06055,18040.36914,85640000,0,0
2015-06-02,18033.33008,18091.86914,17925.33008,18011.93945,77550000,0,0
2015-06-03,18018.41992,18168.08984,18010.41992,18076.26953,73120000,0,0
2015-06-04,18072.4707,18087.15039,0,17905.58008,93470000,0,0
2015-06-05,17905.38086,17940.7793,17822.90039,17849.46094,89140000,0,0
2015-06-08,17849.46094,17852.34961,17760.60938,17766.55078,86300000,0,0
2015-06-09,17766.94922,17817.83008,17714.9707,17764.03906,90550000,0,0
2015-06-10,17765.38086,18045.14063,17765.38086,18000.40039,96980000,0,0
2015-06-11,18001.26953,18109.76953,18001.26953,18039.36914,89490000,0,0
2015-06-12,18035.83008,18035.83008,17857.07031,17898.83984,83760000,0,0
2015-06-15,17890.75977,17890.75977,17698.41992,17791.16992,91920000,0,0
2015-06-16,17787.42969,17919.61914,17774.11914,17904.48047,77510000,0,0
2015-06-17,17909.58008,17998,17839.65039,17935.74023,92410000,0,0
2015-06-18,17944.60938,18174.73047,17944.60938,18115.83984,94460000,0,0
2015-06-19,18116.24023,18117.71094,18010.58008,18015.94922,258300000,0,0
2015-06-22,18027.63086,18181.66992,18027.63086,18119.7793,77780000,0,0
2015-06-23,18121.7793,18188.81055,18108.09961,18144.07031,75970000,0,0
2015-06-24,18139.09961,18139.09961,17966.07031,17966.07031,104980000,0,0
2015-06-25,17977.10938,18036.09961,17890.35938,17890.35938,78990000,0,0
2015-06-26,17892.0293,18013.15039,17892.0293,17946.67969,158120000,0,0
2015-06-29,17936.74023,17936.74023,17590.55078,17596.34961,116340000,0,0
2015-06-30,17599.96094,17714.66016,17576.5,17619.50977,126460000,0,0
2015-07-01,17638.11914,17801.83008,17638.11914,17757.91016,87010000,0,0
2015-07-02,17763.32031,17825.49023,17687.51953,17730.10938,83080000,0,0
2015-07-06,17728.08008,17734.35938,0,17683.58008,90130000,0,0
2015-07-07,17684.91992,17793.44922,17465.67969,17776.91016,105840000,0,0
2015-07-08,17759.00977,17759.00977,0,17515.41992,69830000,0,0
2015-07-09,17530.38086,17764.84961,17530.38086,17548.61914,100520000,0,0
2015-07-10,17561.11914,17797.49023,17561.11914,17760.41016,85800000,0,0
2015-07-13,17787.26953,17987.57031,17787.26953,17977.67969,86380000,0,0
2015-07-14,17974.60938,18072.82031,17956.16992,18053.58008,76740000,0,0
2015-07-15,18053.38086,18090.39063,18010.15039,18050.16992,80460000,0,0
2015-07-16,18078.16016,18131.60938,18065.33008,18120.25,85030000,0,0
2015-07-17,18117.58008,18121.11914,18032.06055,18086.44922,106510000,0,0
2015-07-20,18085.91016,18137.11914,18064.5,18100.41016,75060000,0,0
2015-07-21,18096.66992,18096.66992,17868.33984,17919.28906,100170000,0,0
2015-07-22,17918.34961,17919.34961,17807.41016,17851.03906,112370000,0,0
